Intervalo, P(x), Oi, Ei, Error
0.15675741667684306 - 2.5509949945061683, 0.060928237879943184, 16.0, 6.092823787994319, 16.109466465965475
2.5509949945061683 - 4.9452325723354935, 0.09248834676789086, 6.0, 9.248834676789086, 1.141216934452935
4.9452325723354935 - 7.339470150164819, 0.12276948723717823, 8.0, 12.276948723717823, 1.4899704150407223
7.339470150164819 - 9.733707727994144, 0.1425054359685553, 20.0, 14.25054359685553, 2.3196482791683115
9.733707727994144 - 12.12794530582347, 0.1446476310424446, 12.0, 14.46476310424446, 0.4199900901427245
12.12794530582347 - 14.522182883652796, 0.1283897222461663, 15.0, 12.83897222461663, 0.36373947729432426
14.522182883652796 - 16.916420461482122, 0.09965226156244522, 8.0, 9.965226156244523, 0.3875590763956219
16.916420461482122 - 19.31065803931145, 0.06763628615109096, 5.0, 6.763628615109097, 0.4598694087199612
19.31065803931145 - 21.704895617140775, 0.04014251594131457, 5.0, 4.014251594131457, 0.24206253566491168
21.704895617140775 - 24.0991331949701, 0.10084007520297078, 5.0, 10.084007520297078, 2.563180601998974
